sentence_number;phenomenon_type_number;phenomenon_type;linguistic_phenomenon_number;linguistic_phenomenon;error_name_number;error_name;problem_source_number;problem_source;correct_sentence;incorrect_sentence;note_exception;note;origin_of_the_sentence;search_source;utter-project_EuroLLM-9B_correct_nll;utter-project_EuroLLM-9B_incorrect_nll;utter-project_EuroLLM-9B_certainty;utter-project_EuroLLM-9B_decision
;3;Use of Forms;20;5.4 Infinitive;2;5.4.2 The infinitive should not be used with the conjunction kad (also idant) to express purpose.;1;;Studentai ruošiasi egzaminui, kad pasiektų geresnių rezultatų.;Studentai ruošiasi egzaminui, kad pasiekti geresnių rezultatų.; ;;ChatGPT;;2.3684394359588623;2.8809072971343994;0.5124678611755371;correct
;3;Use of Forms;20;5.4 Infinitive;2;5.4.2 The infinitive should not be used with the conjunction kad (also idant) to express purpose.;1;;Įmonė investuoja į naujas technologijas, kad pagerintų gamybos efektyvumą.;Įmonė investuoja į naujas technologijas, kad pagerinti gamybos efektyvumą.; ;;ChatGPT;;2.0918383598327637;2.364778757095337;0.27294039726257324;correct
;3;Use of Forms;20;5.4 Infinitive;2;5.4.2 The infinitive should not be used with the conjunction kad (also idant) to express purpose.;1;;Kad mokėtume, reikia mokytis.;Kad mokėti, reikia mokytis.; ;;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;4.719230651855469;5.394796371459961;0.6755657196044922;correct
;3;Use of Forms;20;5.4 Infinitive;2;5.4.2 The infinitive should not be used with the conjunction kad (also idant) to express purpose.;1;;Atvažiavau, kad viską pamatyčiau.;Atvažiavau, kad viską pamatyti.; ;;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;3.575957775115967;3.966442108154297;0.3904843330383301;correct
;3;Use of Forms;20;5.4 Infinitive;2;5.4.2 The infinitive should not be used with the conjunction kad (also idant) to express purpose.;1;;Ką nors daryk, idant atgautum dvasios ramybę.;Ką nors daryk, idant atgauti dvasios ramybę.; ;;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;2.56111216545105;2.839850664138794;0.27873849868774414;correct
;3;Use of Forms;20;5.4 Infinitive;2;5.4.2 The infinitive should not be used with the conjunction kad (also idant) to express purpose.;1;;Kad būtų sumažinti kaštai, reikia peržiūrėti tiekimo sutartis.;Kad sumažinti kaštus, reikia peržiūrėti tiekimo sutartis.; ;;ChatGPT;;3.5093495845794678;3.7065420150756836;0.19719243049621582;correct
;3;Use of Forms;20;5.4 Infinitive;2;5.4.2 The infinitive should not be used with the conjunction kad (also idant) to express purpose.;1;;Susitarėme susitikti, kad aptartume bendradarbiavimo galimybes.;Susitarėme susitikti, kad aptarti bendradarbiavimo galimybes.; ;;ChatGPT;;2.7912116050720215;3.2127416133880615;0.42153000831604004;correct
;3;Use of Forms;20;5.4 Infinitive;2;5.4.2 The infinitive should not be used with the conjunction kad (also idant) to express purpose.;1;;Vadovybė priėmė sprendimą, kad pagerėtų komunikacija tarp skyrių.;Vadovybė priėmė sprendimą, kad pagerinti komunikaciją tarp skyrių.; ;;ChatGPT;;3.6471850872039795;3.702749729156494;0.05556464195251465;correct
311.0;3;Use of Forms;20;5.4 Infinitive;2;5.4.2 The infinitive should not be used with the conjunction kad (also idant) to express purpose.;1;;Ant pakylos užlipo vakaro svečias, idant praneštų gerą naujieną.;Ant pakylos užlipo vakaro svečias, idant pranešti gerą naujieną.; ;;vlkk;;3.9241883754730225;4.083228588104248;0.15904021263122559;correct
312.0;3;Use of Forms;21;5.5 Negative predicate forms;1;5.5.1 Negative predicate forms should not to be used in subordinate clauses expressing concession, when actual negation is not meant.;1;;Kad ir kaip stengėsi, niekam negalėjo įtikti.;Kaip nesistengė, niekam negalėjo įtikti.; ;;vlkk;;3.7003839015960693;4.227461814880371;0.5270779132843018;correct
313.0;3;Use of Forms;21;5.5 Negative predicate forms;1;5.5.1 Negative predicate forms should not to be used in subordinate clauses expressing concession, when actual negation is not meant.;1;;Kad ir kaip ten būtų, reikia važiuoti.;Kaip ten nebūtų, reikia važiuoti.; ;;vlkk;;4.314045429229736;3.91709041595459;-0.3969550132751465;incorrect
314.0;3;Use of Forms;21;5.5 Negative predicate forms;1;5.5.1 Negative predicate forms should not to be used in subordinate clauses expressing concession, when actual negation is not meant.;1;;Kad ir kaip keista, projektas dar neparengtas.;Kaip nekeista, projektas dar neparengtas.; ;;vlkk;;4.170595645904541;4.161587238311768;-0.009008407592773438;incorrect
;3;Use of Forms;21;5.5 Negative predicate forms;1;5.5.1 Negative predicate forms should not to be used in subordinate clauses expressing concession, when actual negation is not meant.;1;;Kad ir kaip ten būtų, bet dainos turi skambėti!;Kaip ten nebūtų, bet dainos turi skambėti!; ;;internet;https://www.facebook.com/muzikantai.uk/videos/kaip-ten-nebūtųbet-dainos-turi-skambėtiačiū-už-nuostabų-vakarąačiū-už-gėles-ir-d/1332936084366782/;4.219754219055176;4.805674076080322;0.5859198570251465;correct
;3;Use of Forms;21;5.5 Negative predicate forms;1;5.5.1 Negative predicate forms should not to be used in subordinate clauses expressing concession, when actual negation is not meant.;1;;Kad ir kaip sunku buvo, visi darbai buvo atlikti laiku.;Kaip nesunku būtų buvę, visi darbai buvo atlikti laiku.;  ;;ChatGPT;;3.9461669921875;4.4011616706848145;0.45499467849731445;correct
;3;Use of Forms;21;5.5 Negative predicate forms;1;5.5.1 Negative predicate forms should not to be used in subordinate clauses expressing concession, when actual negation is not meant.;1;;Kad ir kaip nuobodu būtų, konferencijoje reikia dalyvauti.;Kaip nenuobodu būtų, konferencijoje reikia dalyvauti.; ;;ChatGPT;;4.162182331085205;4.593071460723877;0.4308891296386719;correct
;3;Use of Forms;21;5.5 Negative predicate forms;1;5.5.1 Negative predicate forms should not to be used in subordinate clauses expressing concession, when actual negation is not meant.;1;;Kad ir kaip pavargę jie buvo, susirinkime dalyvavo visi.;Kaip nepavargę jie buvo, susirinkime dalyvavo visi.; ;;ChatGPT;;4.390102863311768;4.925529479980469;0.5354266166687012;correct
;3;Use of Forms;21;5.5 Negative predicate forms;1;5.5.1 Negative predicate forms should not to be used in subordinate clauses expressing concession, when actual negation is not meant.;1;;Kad ir kaip neįprasta, sprendimas buvo priimtas greitai.;Kaip neįprasta, sprendimas buvo priimtas greitai.; ;;ChatGPT;;3.9040470123291016;3.785512685775757;-0.11853432655334473;incorrect
;3;Use of Forms;21;5.5 Negative predicate forms;1;5.5.1 Negative predicate forms should not to be used in subordinate clauses expressing concession, when actual negation is not meant.;1;;Kad ir kaip vėlavo susitikimas, visi punktai buvo aptarti laiku.	;Kaip nevėlavo susitikimas, visi punktai buvo aptarti laiku.; ;;ChatGPT;;4.251236438751221;4.258931636810303;0.007695198059082031;correct
315.0;3;Use of Forms;21;5.5 Negative predicate forms;1;5.5.1 Negative predicate forms should not to be used in subordinate clauses expressing concession, when actual negation is not meant.;1;;Bet, kad ir kaip būtų keista, pastatas išliko nesugriautas.;Bet, kaip nebūtų keista, pastatas išliko nesugriautas.; ;;vlkk;;3.980224609375;3.1771187782287598;-0.8031058311462402;incorrect
316.0;3;Use of Forms;22;5.6 Simple forms of the subjunctive mood;1;5.6.1 Simple forms of the subjunctive mood should not to be used instead of compound forms to express past actions (often hypothetical or unrealized).;1;;Nepasakyčiau, kad vakarykštis aukcionas būtų sudrebinęs Kauną.;Nepasakyčiau, kad vakarykštis aukcionas sudrebintų Kauną.; ;;vlkk;;4.135324001312256;4.92533540725708;0.7900114059448242;correct
317.0;3;Use of Forms;22;5.6 Simple forms of the subjunctive mood;1;5.6.1 Simple forms of the subjunctive mood should not to be used instead of compound forms to express past actions (often hypothetical or unrealized).;1;;Varikliai sandėlyje dar būtų gulėję ne vienus metus, jei jų nebūtų radę kontrolieriai.;Varikliai sandėlyje dar gulėtų ne vienus metus, jei jų nerastų kontrolieriai.; ;;vlkk;;3.438514232635498;3.938018321990967;0.49950408935546875;correct
;3;Use of Forms;22;5.6 Simple forms of the subjunctive mood;1;5.6.1 Simple forms of the subjunctive mood should not to be used instead of compound forms to express past actions (often hypothetical or unrealized).;1;;Jei jis būtų skaičiavęs atsakymus, klaidų būtų buvę mažiau.;Jei jis skaičiuotų atsakymus, klaidų būtų buvę mažiau.; ;;ChatGPT;;3.4364962577819824;3.9008994102478027;0.4644031524658203;correct
;3;Use of Forms;22;5.6 Simple forms of the subjunctive mood;1;5.6.1 Simple forms of the subjunctive mood should not to be used instead of compound forms to express past actions (often hypothetical or unrealized).;1;;Jei ji būtų paruošusi ataskaitą laiku, vadovas nebūtų supykęs.;Jei ji paruoštų ataskaitą laiku, vadovas nebūtų supykęs.; ;;ChatGPT;;3.261955976486206;3.474818229675293;0.21286225318908691;correct
;3;Use of Forms;22;5.6 Simple forms of the subjunctive mood;1;5.6.1 Simple forms of the subjunctive mood should not to be used instead of compound forms to express past actions (often hypothetical or unrealized).;1;;Jei studentai būtų išstudijavę visas paskaitas, egzamino rezultatai būtų geresni.;Jei studentai išstudijuotų visas paskaitas, egzamino rezultatai būtų geresni.; ;;ChatGPT;;2.750248670578003;2.889885663986206;0.13963699340820312;correct
;3;Use of Forms;22;5.6 Simple forms of the subjunctive mood;1;5.6.1 Simple forms of the subjunctive mood should not to be used instead of compound forms to express past actions (often hypothetical or unrealized).;1;;Jei komanda būtų pasiruošusi iš anksto, turnyras būtų praėjęs sėkmingai.;Jei komanda pasiruoštų iš anksto, turnyras būtų praėjęs sėkmingai.; ;;ChatGPT;;3.0740959644317627;3.29213547706604;0.21803951263427734;correct
;3;Use of Forms;22;5.6 Simple forms of the subjunctive mood;1;5.6.1 Simple forms of the subjunctive mood should not to be used instead of compound forms to express past actions (often hypothetical or unrealized).;1;;Jei oras būtų buvęs geras, renginys būtų įvykęs lauke.;Jei oras būtų geras, renginys būtų įvykęs lauke.; ;;ChatGPT;;3.0854105949401855;3.304150342941284;0.21873974800109863;correct
;3;Use of Forms;22;5.6 Simple forms of the subjunctive mood;1;5.6.1 Simple forms of the subjunctive mood should not to be used instead of compound forms to express past actions (often hypothetical or unrealized).;1;;Jei žurnalistai būtų patikrinę informaciją prieš publikaciją, skandalas nebūtų įvykęs.;Jei žurnalistai patikrintų informaciją prieš publikaciją, skandalas nebūtų įvykęs.; ;;ChatGPT;;2.9455482959747314;3.058359146118164;0.11281085014343262;correct
;3;Use of Forms;22;5.6 Simple forms of the subjunctive mood;1;5.6.1 Simple forms of the subjunctive mood should not to be used instead of compound forms to express past actions (often hypothetical or unrealized).;1;;Jeigu klientai būtų pateikę atsiliepimus, mes būtume patobulinę produktą.	;Jeigu klientai pateiktų atsiliepimus, mes būtume patobulinę produktą.; ;;ChatGPT;;2.820141315460205;2.942741632461548;0.12260031700134277;correct
318.0;3;Use of Forms;22;5.6 Simple forms of the subjunctive mood;1;5.6.1 Simple forms of the subjunctive mood should not to be used instead of compound forms to express past actions (often hypothetical or unrealized).;1;;Jeigu jie būtų važiavę mažesniu greičiu, avarija nebūtų įvykusi.;Jeigu jie važiuotų mažesniu greičiu, avarija nebūtų įvykusi.; ;;vlkk;;2.564213275909424;2.8278143405914307;0.26360106468200684;correct
319.0;3;Use of Forms;23;5.7 Reflexive forms;1;5.7.1 Reflexive forms of certain verbs should not to be used with a passive meaning if the action cannot occur by itself.;1;išsinuomoti ;Išnuomojamas vieno kambario butas.;Išsinuomoja vieno kambario butas.; ;;vlkk;;3.1948676109313965;3.4954869747161865;0.30061936378479004;correct
320.0;3;Use of Forms;23;5.7 Reflexive forms;1;5.7.1 Reflexive forms of certain verbs should not to be used with a passive meaning if the action cannot occur by itself.;2;nusimatyti;Kas dar numatoma programoje?;Kas dar nusimato programoje?; ;Deleted one of the sentences.;vlkk;;4.757956027984619;4.89002799987793;0.13207197189331055;correct
321.0;3;Use of Forms;23;5.7 Reflexive forms;1;5.7.1 Reflexive forms of certain verbs should not to be used with a passive meaning if the action cannot occur by itself.;3;parsiduoti;Parduodamas namas su sodu.;Parsiduoda namas su sodu.; ;;vlkk;;4.6529860496521;6.204950332641602;1.551964282989502;correct
322.0;3;Use of Forms;23;5.7 Reflexive forms;1;5.7.1 Reflexive forms of certain verbs should not to be used with a passive meaning if the action cannot occur by itself.;3;parsiduoti;Ar čia žaislų neparduodate?;Ar čia žaislai neparsiduoda?; ;;vlkk;;5.226964950561523;5.143030166625977;-0.08393478393554688;incorrect
323.0;3;Use of Forms;23;5.7 Reflexive forms;1;5.7.1 Reflexive forms of certain verbs should not to be used with a passive meaning if the action cannot occur by itself.;4;rašytis;Nosinė čia nerašoma.;Nosinė čia nesirašo.; ;;vlkk;;6.89093017578125;6.880977153778076;-0.009953022003173828;incorrect
324.0;3;Use of Forms;23;5.7 Reflexive forms;1;5.7.1 Reflexive forms of certain verbs should not to be used with a passive meaning if the action cannot occur by itself.;4;rašytis;Kaip kirčiuojamas šis žodis?;Kaip kirčiuojasi šis žodis?; ;;vlkk;;3.963460922241211;3.621835470199585;-0.341625452041626;incorrect
325.0;3;Use of Forms;23;5.7 Reflexive forms;1;5.7.1 Reflexive forms of certain verbs should not to be used with a passive meaning if the action cannot occur by itself.;5;skaitytis;Norėjau taip parašyti, kad knygą būtų įdomu skaityti.;Norėjau taip parašyti, kad knyga įdomiai skaitytųsi.; ;;vlkk;;3.3804666996002197;4.078632354736328;0.6981656551361084;correct
326.0;3;Use of Forms;23;5.7 Reflexive forms;1;5.7.1 Reflexive forms of certain verbs should not to be used with a passive meaning if the action cannot occur by itself.;6;statytis;Kaip tik toje vietoje ir buvo statomas naujas namas.;Kaip tik toje vietoje ir statėsi naujas namas.; ;Added 'ir' to make the sentences more similar to each other.;vlkk;;3.5;3.7427213191986084;0.2427213191986084;correct
;3;Use of Forms;23;5.7 Reflexive forms;1;5.7.1 Reflexive forms of certain verbs should not to be used with a passive meaning if the action cannot occur by itself.;3;parsiduoti;Parduodamas automobilis aikštelėje.;Parsiduoda automobilis aikštelėje.; ;;ChatGPT;;5.422070503234863;6.846241474151611;1.424170970916748;correct
;3;Use of Forms;23;5.7 Reflexive forms;1;5.7.1 Reflexive forms of certain verbs should not to be used with a passive meaning if the action cannot occur by itself.;7;žiūrėtis;Restauruotas pastatas gražiai atrodo.;Restauruotas pastatas gražiai žiūrisi.; ;;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;5.297001361846924;4.570754528045654;-0.7262468338012695;incorrect
;3;Use of Forms;23;5.7 Reflexive forms;1;5.7.1 Reflexive forms of certain verbs should not to be used with a passive meaning if the action cannot occur by itself.;8;matosi;Iš čia toli matyti.;Iš čia toli matosi.;Klaidomis nelaikoma formos matosi, girdisi, jaučiasi.;Both sentences are OK depending on the context.;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;4.976412296295166;4.970938682556152;-0.005473613739013672;incorrect
;3;Use of Forms;23;5.7 Reflexive forms;1;5.7.1 Reflexive forms of certain verbs should not to be used with a passive meaning if the action cannot occur by itself.;9;girdisi;Už sienos buvo girdėti balsai.;Už sienos girdėjosi balsai.;Klaidomis nelaikoma formos matosi, girdisi, jaučiasi.;Both sentences are OK depending on the context.;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;4.714048385620117;4.725059509277344;0.011011123657226562;correct
;3;Use of Forms;23;5.7 Reflexive forms;1;5.7.1 Reflexive forms of certain verbs should not to be used with a passive meaning if the action cannot occur by itself.;10;jaučiasi;Rašinio įžangoje justi tuščiažodžiavimas.;Rašinio įžangoje jaučiasi tuščiažodžiavimas.;Klaidomis nelaikoma formos matosi, girdisi, jaučiasi.;Both sentences are OK depending on the context.;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;3.1573426723480225;3.1599502563476562;0.002607583999633789;correct
327.0;3;Use of Forms;23;5.7 Reflexive forms;1;5.7.1 Reflexive forms of certain verbs should not to be used with a passive meaning if the action cannot occur by itself.;7;žiūrėtis;Aktoriai tame spektaklyje gražiai atrodo.;Aktoriai tame spektaklyje gražiai žiūrisi.; ;;vlkk;;4.971080303192139;4.80615758895874;-0.16492271423339844;incorrect
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Kroatai atrankos turnyre iškovojo dvi įtikinančias pergales.;Kroatai atrankos turnyre iškovojo dvi įtikinamas pergales.; ;;corpus;http://tekstynas.vdu.lt/tekstynas/search.all;3.959213972091675;3.864004373550415;-0.09520959854125977;incorrect
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Nebuvo įvertintas pasiaukojamas žygdarbis.;Nebuvo įvertintas pasiaukojantis žygdarbis.; ;;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;4.3106913566589355;4.293585300445557;-0.017106056213378906;incorrect
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Salėje nebuvo sėdimų vietų.;Salėje nebuvo sėdinčių vietų.; ;;vlkk - extra;https://vlkk.lt/konsultacijos/3345-neveikiamosios-rusies-dalyvis;4.013391494750977;4.742929458618164;0.7295379638671875;correct
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Jis jau seniai dirba vadovaujamą darbą.;Jis jau seniai dirba vadovaujantį darbą.; ;;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;3.124770164489746;3.3531386852264404;0.22836852073669434;correct
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Tai buvo sunkiai įveikiama užduotis.;Tai buvo sunkiai įveikianti užduotis.; ;;ChatGPT;;3.0790042877197266;3.4317595958709717;0.3527553081512451;correct
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Pastatas turi šildomas grindis.;Pastatas turi šildančias grindis.; ;;ChatGPT;;4.57865571975708;4.743110656738281;0.16445493698120117;correct
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Gydytojas atliko rekomenduojamą procedūrą.;Gydytojas atliko rekomenduojančią procedūrą.; ;;ChatGPT;;3.6171951293945312;3.8091237545013428;0.19192862510681152;correct
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Jiems buvo paskirtas reglamentuojamas mokestis.;Jiems buvo paskirtas reglamentuojantis mokestis.; ;;ChatGPT;;4.332439422607422;4.500133514404297;0.167694091796875;correct
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Reikia pateikti tinkamus dokumentus.;Reikia pateikti tinkančius dokumentus.; ;;ChatGPT;;4.121145725250244;4.413524627685547;0.29237890243530273;correct
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Už viską geriau – gaivinamieji gėrimai. ;Už viską geriau – gaivinantieji gėrimai. ; ;Created a full sentence by searching the Internet.;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;3.97173810005188;3.9418585300445557;-0.02987957000732422;incorrect
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Ši maitinamoji kaukė tinkama visų tipų plaukams.;Ši maitinančioji kaukė tinkama visų tipų plaukams.; ;Created a full sentence by searching the Internet.;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;3.0886316299438477;2.935789108276367;-0.15284252166748047;incorrect
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Vykdomoji valdžia – tai institucijos, kurios įgyvendina valstybinę valdžią vykdydamos įstatymus ir kitus teisės aktus.;Vykdančioji valdžia – tai institucijos, kurios įgyvendina valstybinę valdžią vykdydamos įstatymus ir kitus teisės aktus.; ;Created a full sentence by searching the Internet.;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;2.076643943786621;1.9049162864685059;-0.17172765731811523;incorrect
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Plaukų stiprinimo šampūnas yra skirtas pažeistiems, sausiems, lūžinėjantiems plaukams.;Plaukus stiprinantis šampūnas yra skirtas pažeistiems, sausiems, lūžinėjantiems plaukams.; ;Created a full sentence by searching the Internet.;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;2.112518072128296;2.370175838470459;0.2576577663421631;correct
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Dezinfekciniai valikliai skirti efektyviai paviršių, liftų, stalų, rankenų, sanitarinių patalpų, įrangos ir įrankių dezinfekcijai.;Dezinfekuojantys valikliai skirti efektyviai paviršių, liftų, stalų, rankenų, sanitarinių patalpų, įrangos ir įrankių dezinfekcijai.; ;Created a full sentence by searching the Internet.;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;2.0868802070617676;2.271566867828369;0.18468666076660156;correct
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Natūralūs raminamieji preparatai gali sumažinti nerimą ir gerinti miegą.;Natūralūs raminantieji preparatai gali sumažinti nerimą ir gerinti miegą.; ;Created a full sentence by searching the Internet.;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;2.2923386096954346;2.4763121604919434;0.1839735507965088;correct
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Patyrėme stulbinamų įspūdžių.;Patyrėme stulbinančių įspūdžių.;Daikto požymiui reikšti, kai tas daiktas gali būti dalyvio veiksmo atlikėjas, pirmenybė teiktina pagrindiniam normos variantui – neveikiamosios rūšies esamojo laiko dalyviui.; ;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;3.6277284622192383;3.4954516887664795;-0.1322767734527588;incorrect
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Ši taryba turėtų tapti jungiamąja grandimi.;Ši taryba turėtų tapti jungiančia grandimi.;Daikto požymiui reikšti, kai tas daiktas gali būti dalyvio veiksmo atlikėjas, pirmenybė teiktina pagrindiniam normos variantui – neveikiamosios rūšies esamojo laiko dalyviui.; ;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;3.8349239826202393;4.3612141609191895;0.5262901782989502;correct
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Net ir po svaiginamų laimėjimų jis visai nepasikeitė.;Net ir po svaiginančių laimėjimų jis visai nepasikeitė.;Daikto požymiui reikšti, kai tas daiktas gali būti dalyvio veiksmo atlikėjas, pirmenybė teiktina pagrindiniam normos variantui – neveikiamosios rūšies esamojo laiko dalyviui.; ;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;3.831846237182617;3.9100418090820312;0.07819557189941406;correct
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Krepšininkai patyrė triuškinamą pralaimėjimą.;Krepšininkai patyrė triuškinantį pralaimėjimą.;Daikto požymiui reikšti, kai tas daiktas gali būti dalyvio veiksmo atlikėjas, pirmenybė teiktina pagrindiniam normos variantui – neveikiamosios rūšies esamojo laiko dalyviui.; ;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;2.2905449867248535;2.146786689758301;-0.14375829696655273;incorrect
;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Ką reiškia šis įspėjamasis ženklas?;Ką reiškia šis įspėjantysis ženklas?; ;Created a full sentence.;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;2.5384652614593506;3.0885977745056152;0.5501325130462646;correct
328.0;3;Use of Forms;24;5.8 Participles;1;5.8.1 Active present participle should not be used with nouns that do not denote an agent (nouns that cannot perform an action).;1;;Mūsų asortimente rasite platų priedų ir komplektuojamųjų detalių pasirinkimą.;Mūsų asortimente rasite platų priedų ir komplektuojančių detalių pasirinkimą.; ;Created a full sentence by searching the Internet.;vlkk;https://www.balticmaster.lt/priedai-ir-komplektuojanciosios-dalys/;2.243464708328247;2.356916666030884;0.11345195770263672;correct
329.0;3;Use of Forms;24;5.8 Participles;2;5.8.2 Active past participle should not be used to indicate an action occurring simultaneously with or subsequent to the main verb.;1;;Į orą pakilo raketos ir numušė tris priešo lėktuvus. ;Į orą pakilo raketos, numušusios tris priešo lėktuvus. ; ;;vlkk;;3.0194945335388184;2.9086501598358154;-0.11084437370300293;incorrect
330.0;3;Use of Forms;24;5.8 Participles;2;5.8.2 Active past participle should not be used to indicate an action occurring simultaneously with or subsequent to the main verb.;1;;Pirmą kartą jis paragavo alkoholio, gerdamas su draugu šampano. ;Pirmą kartą jis paragavo alkoholio, išgėręs su draugu šampano. ; ;;vlkk;;3.6561453342437744;2.9504470825195312;-0.7056982517242432;incorrect
;3;Use of Forms;24;5.8 Participles;2;5.8.2 Active past participle should not be used to indicate an action occurring simultaneously with or subsequent to the main verb.;1;;Pusfinalį laimėjo mūsų komanda ir pateko į finalą.;Pusfinalį laimėjo mūsų komanda, patekusi į finalą.; ;;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;4.197018623352051;4.182679176330566;-0.014339447021484375;incorrect
